0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:13:49 +0900] "GET /boardproject/login2.jsp HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:13:51 +0900] "POST /boardproject/loginstatus.jsp HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:14:10 +0900] "GET /boardproject/mainpage.jsp HTTP/1.1" 200 2846
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:14:13 +0900] "GET /boardproject/logout.jsp? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:14:13 +0900] "GET /boardproject/mainpage.jsp HTTP/1.1" 200 2790
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:14:14 +0900] "GET /boardproject/login.jsp HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:14:19 +0900] "GET /boardproject/login?id=jeemin&pw=123 HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:14:19 +0900] "GET /boardproject/mainpage.jsp HTTP/1.1" 200 2846
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:14:25 +0900] "GET /boardproject/boarddetails.jsp?boardseq=4 HTTP/1.1" 200 1572
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:14:52 +0900] "GET /boardproject/mainpage.jsp HTTP/1.1" 200 2846
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:14:53 +0900] "GET /boardproject/logout.jsp? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:14:53 +0900] "GET /boardproject/mainpage.jsp HTTP/1.1" 200 2791
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:14:54 +0900] "GET /boardproject/login2.jsp HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:14:56 +0900] "POST /boardproject/loginstatus.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:14:57 +0900] "GET /boardproject/login2.jsp HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:14:59 +0900] "POST /boardproject/loginstatus.jsp HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:15:01 +0900] "GET /boardproject/signin.jsp HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:15:11 +0900] "GET /boardproject/mainpage.jsp HTTP/1.1" 200 2790
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:15:36 +0900] "GET /boardproject/mainpage.jsp HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:15:36 +0900] "GET /boardproject/mainpage.jsp HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:15:36 +0900] "GET /boardproject/mainpage.jsp HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:15:36 +0900] "GET /boardproject/mainpage.jsp HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:15:37 +0900] "GET /boardproject/mainpage.jsp HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:16:31 +0900] "GET /boardproject/boardlistsearch.jsp?word=%EB%82%B4%EC%9A%A9&tag=boardtitle HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:16:32 +0900] "GET /boardproject/mainpage.jsp? HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:20:01 +0900] "GET /boardproject/boardlist2.jsp HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:20:06 +0900] "POST /boardproject/boardlistsearch.jsp HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:20:08 +0900] "GET /boardproject/mainpage.jsp? HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:20:17 +0900] "GET /boardproject/boardlistsearch.jsp?word=%EC%A0%9C%EB%AA%A9&tag=boardtitle HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:21:59 +0900] "GET /boardproject/boardlistsearch.jsp?word=%EB%82%B4%EC%9A%A9&tag=boardtitle HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:22:01 +0900] "GET /boardproject/mainpage.jsp? HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:22:05 +0900] "GET /boardproject/boardlistsearch.jsp?word=%EC%A0%9C%EB%AA%A9&tag=boardtitle HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:22:16 +0900] "GET /boardproject/boardlist2.jsp HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:22:22 +0900] "POST /boardproject/boardlistsearch.jsp HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:22:25 +0900] "GET /boardproject/mainpage.jsp? HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:22:29 +0900] "GET /boardproject/boardlistsearch.jsp?word=%EC%A0%9C%EB%AA%A9&tag=boardtitle HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:23:17 +0900] "GET /boardproject/boardlist2.jsp HTTP/1.1" 200 2555
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:23:21 +0900] "POST /boardproject/boardlistsearch.jsp HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:23:26 +0900] "GET /boardproject/mainpage.jsp? HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:23:40 +0900] "GET /boardproject/mainpage.jsp? HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:24:47 +0900] "GET /boardproject/mainpage.jsp HTTP/1.1" 200 3191
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:24:51 +0900] "POST /boardproject/boardlistsearch.jsp HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:25:01 +0900] "GET /boardproject/mainpage.jsp? HTTP/1.1" 200 3191
0:0:0:0:0:0:0:1 - - [05/Feb/2019:15:25:40 +0900] "GET /boardproject/mainpage.jsp? HTTP/1.1" 200 3145
